,root_mean_squared1,root_mean_squared2,root_mean_squared3,root_mean_squared4,iemg1,iemg2,iemg3,iemg4,mean_absolute_value1,mean_absolute_value2,mean_absolute_value3,mean_absolute_value4,variance1,variance2,variance3,variance4,wave_form_length1,wave_form_length2,wave_form_length3,wave_form_length4,mean1,mean2,mean3,mean4,median1,median2,median3,median4,skewness1,skewness2,skewness3,skewness4,kurt1,kurt2,kurt3,kurt4,label
0,3379.2437,3411.863,3406.6392,3409.9668,195996.0,197888.0,197585.0,197778.0,3379.2415,3411.862,3406.638,3409.9656,14.73484,6.6361475,7.8516645,8.447087,68.0,76.0,77.0,75.0,3379.2415,3411.862,3406.638,3409.9656,3379.0,3412.0,3407.0,3410.0,-0.12067293,0.1043139,-0.09216168,-0.024861986,-0.7020657,-1.1618311,-0.5317564,-0.90028715,0
1,3391.812,3408.4663,3412.9492,3413.2078,196725.0,197691.0,197951.0,197966.0,3391.8103,3408.4656,3412.9482,3413.2068,10.601962,4.7315693,5.876634,7.095125,76.0,56.0,64.0,72.0,3391.8103,3408.4656,3412.9482,3413.2068,3392.0,3408.0,3413.0,3413.5,-0.6366309,0.2577168,-0.15741603,0.002004233,0.9367707,-0.615031,-0.91684914,-0.74554014,1
2,3413.3484,3411.294,3412.173,3413.8281,197974.0,197855.0,197906.0,198002.0,3413.3447,3411.2932,3412.1724,3413.8276,24.053509,5.4140897,5.521998,4.901308,64.0,70.0,58.0,66.0,3413.3447,3411.2932,3412.1724,3413.8276,3413.5,3411.0,3412.5,3414.0,0.06618263,-0.028306084,-0.4303781,0.0465451,-1.0157415,-1.4819605,-0.9462545,-1.076921,2
3,3406.1406,3411.8113,3415.8284,3410.8625,197555.0,197885.0,198118.0,197830.0,3406.1206,3411.8103,3415.8276,3410.862,135.51991,4.7743754,4.280618,4.2568374,81.0,60.0,63.0,61.0,3406.1206,3411.8103,3415.8276,3410.862,3407.0,3412.0,3416.0,3411.0,-0.5065334,-0.114061885,-0.11937885,0.11449267,-0.9426291,-0.8225627,-1.0622282,-1.0704327,0
4,3390.087,3409.3113,3410.208,3463.3538,196625.0,197740.0,197792.0,200873.0,3390.0862,3409.3103,3410.2068,3463.3276,4.2167063,7.2140303,6.8882284,181.35822,52.0,54.0,55.0,78.0,3390.0862,3409.3103,3410.2068,3463.3276,3390.5,3409.0,3410.0,3467.5,-0.28328454,-0.059830487,0.15797168,-0.81244963,-0.7705841,-0.88858795,-0.85230565,-0.6446419,1
5,3398.1394,3414.6729,3413.397,3440.1553,197092.0,198051.0,197977.0,199527.0,3398.138,3414.6724,3413.3965,3440.1206,9.980976,3.254756,2.9634364,238.41647,60.0,55.0,54.0,93.0,3398.138,3414.6724,3413.3965,3440.1206,3398.0,3415.0,3414.0,3437.5,0.4244596,-0.033506636,-0.1590462,0.028642448,-0.35588622,-0.9138169,-0.7224412,-1.0548401,2
6,3397.432,3416.0525,3408.3457,3410.8625,197051.0,198131.0,197684.0,197830.0,3397.4312,3416.0518,3408.3447,3410.862,6.900416,4.876634,6.0190244,3.1189065,64.0,66.0,67.0,69.0,3397.4312,3416.0518,3408.3447,3410.862,3398.0,3416.0,3408.0,3411.0,-0.38172203,-0.12315911,0.061398055,0.021944096,-0.65119624,-0.76820755,-0.8709216,-0.75044966,0
7,3368.7595,3410.5872,3410.6904,3417.5183,195388.0,197814.0,197820.0,198216.0,3368.7585,3410.5862,3410.6897,3417.5173,6.183115,5.5184298,4.5243754,8.353151,63.0,65.0,67.0,58.0,3368.7585,3410.5862,3410.6897,3417.5173,3369.0,3410.5,3411.0,3418.0,-0.026254147,-0.23213576,-0.08596532,-0.70983684,-0.8741951,-0.81318307,-0.85025597,0.7061584,1
8,3399.708,3408.3801,3408.587,3411.6902,197183.0,197686.0,197698.0,197878.0,3399.7068,3408.3794,3408.5862,3411.6897,5.7244353,5.7526755,4.5873957,4.972651,68.0,54.0,53.0,72.0,3399.7068,3408.3794,3408.5862,3411.6897,3400.0,3408.0,3409.0,3412.0,-0.2712618,0.22376874,0.19727597,-0.09294867,-0.065906286,-0.52586365,-0.65435433,-0.6874335,2
9,3395.156,3412.466,3410.087,3411.3975,196919.0,197923.0,197785.0,197861.0,3395.1553,3412.4656,3410.0862,3411.3965,5.7862654,4.11088,4.00981,6.7220573,65.0,65.0,63.0,63.0,3395.1553,3412.4656,3410.0862,3411.3965,3395.0,3412.5,3410.0,3412.0,-0.1307443,0.13678512,0.16498175,-0.6829585,-0.83408284,-0.7523756,-1.0396421,-0.020479918,0
